"Año","Mes","lon","lat","ID Estado","Estado","Ciudad","Precio.promedio"
2017,2,1627957.24036531,1917722.97151725,26,"Sonora","Hermosillo",17.815
2017,2,1743835.81743211,1661269.80620711,26,"Sonora","Huatabampo",17.995
2017,2,2760622.6918133,708127.162180339,12,"Guerrero","Iguala de la Independencia",17.72
2017,2,2467343.99741125,883303.938341952,16,"Michoacan de Ocampo","Jacona de Plancarte",18.0466666666667
2017,2,2136102.36450172,1657270.01050409,8,"Chihuahua","Jiménez",18.2675
2017,2,1664340.38197233,1293128.47522497,3,"Baja California Sur","La Paz",17.7307692307692
2017,2,2535205.54402173,1012114.65148421,11,"Guanajuato","León de los Aldama",17.84625
2017,2,2947882.28887636,1540622.47741853,28,"Tamaulipas","Matamoros",16.8475
2017,2,3794034.2252253,988808.835233028,31,"Yucatan","Mérida",17.175
2017,2,1230401.61821548,2343847.18793759,2,"Baja California","Mexicali",17.93625
2017,2,2557245.81149997,1650039.48973007,5,"Coahuila de Zaragoza","Monclova",17.79375
2017,2,2668509.67675272,1514136.17695389,19,"Nuevo León","Ciudad Monterrey",18.173
2017,2,2583419.43164608,855908.907037127,16,"Michoacan de Ocampo","Morelia",17.895
2017,2,3061130.5415602,576349.308224229,20,"Oaxaca","Oaxaca de Juárez",17.6666666666667
2017,2,2898744.65799284,787955.881391861,21,"Puebla","Puebla",17.5329411764706
2017,2,2665674.3457233,956584.807977641,22,"Queretaro","Santiago de Querétaro",17.7771428571429
2017,2,3215395.82108377,734169.337712915,31,"Veracruz de Ignacio de la Llave","San Andrés Tuxtla",17.8675
2017,2,2606661.83108613,1124653.85352621,24,"San Luis Potosi","San Luis Potosí",17.7188888888889
2017,2,2920333.59535052,1145769.53902347,28,"Tamaulipas","Tampico",17.18
2017,2,3552237.02912155,359973.88281355,7,"Chiapas","Tapachula de Córdova y Ordóñez",17.70375
2017,2,3223657.2254595,498907.911933251,20,"Oaxaca","Santo Domingo Tehuantepec",17.49
2017,2,2420684.25036975,978427.291168657,14,"Jalisco","Tepatitlán de Morelos",18.405
2017,2,2202349.51711982,1057049.66137212,18,"Nayarit","Tepic",18.0855555555556
2017,2,1086040.24633532,2344505.0789417,2,"Baja California","Tijuana",17.7966666666667
2017,2,2894164.25183292,816749.977672606,29,"Tlaxcala","Tlaxcala de Xicohténcatl",17.5383333333333
2017,2,2746870.05917986,812900.272833679,15,"México","Toluca de Lerdo",17.725
2017,2,2359312.36095972,1500195.40690869,5,"Coahuila de Zaragoza","Torreón",17.8891666666667
2017,2,2878680.20057653,903070.018340528,13,"Hidalgo","Tulancingo",17.55
2017,2,3156089.77095483,737863.131804823,30,"Veracruz de Ignacio de la Llave","Veracruz",17.09
2017,2,3458492.94141412,697228.698776753,27,"Tabasco","Villahermosa",17.3233333333333
2017,3,2896383.38241936,533867.521866542,12,"Guerrero","Acapulco de Juárez",17.5664285714286
